B83,     257.2525,     78.7720555556,     0.039479,          None ,     None,  B83,  1237663269869060292,  257.254205541,  78.7718765918,  17.51084,  16.04759,  15.24681,  14.81719,  17.51084
B84,    255.89875,    78.665,    0.051632,          16.7V,    None,  B84,  1237656565428060463,  255.898534288,  78.6649284649,  19.37569,  17.27476,  16.33756,  15.881,  19.37569
B85,    255.905416667,    78.675,    0.056641,          18.0V,    None,  B85,  1237656565428060456,  255.90519064,  78.6750785458,  20.26042,  18.4084,  17.49511,  17.07043,  20.26042
B86,    255.924583333,    78.6547222222,    0.049175,          18.5R,    None,  B86,  1237656565428060534,  255.925578832,  78.6544082523,  21.54961,  19.66547,  18.79634,  18.40788,  21.54961
B87,    256.004166667,    78.6583333333,    0.059,           ... ,    None,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000
B88,    255.9625,    78.6430555556,    0.05732,           ... ,    None,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000
B89,    255.803333333,    78.6722222222,    0.055495,          17.9V,    None,  B89,  1237656565428060201,  255.802587587,  78.6722809396,  20.89939,  18.88011,  17.97029,  17.55348,  20.89939
B90,    255.9075,    78.6408333333,    0.058801,          16.9V,    None,  B90,  1237656565428060282,  255.907130523,  78.640802561,  19.42312,  17.29728,  16.37787,  15.93901,  19.42312
B91,    255.884166667,    78.6305555556,    0.0593,           ... ,    None,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000
B92,    255.98625,    78.6266666667,    0.050251,          16.4V,    None,  B92,  1237663230678728783,  255.98571274,  78.6265411886,  18.88015,  16.8743,  15.97375,  15.54754,  18.88015
B93,    256.125416667,    78.6466666667,    0.055879,          17.3V,    None,  B93,  1237656565428060288,  256.124907097,  78.6465106642,  19.77805,  17.65855,  16.72871,  16.30341,  19.77805
B94,    255.94375,    78.6233333333,    0.05966,          17.9V,    None,  B94,  1237663230678728788,  255.943996892,  78.6232247992,  20.17156,  18.31216,  17.3871,  17.05928,  20.17156
B95,    256.100833333,    78.6383333333,    0.0581,          15.5 ,    None,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000
B96,    256.05625,    78.6286111111,    0.056092,          14.6V,    None,  B96,  1237663230678728781,  256.055929579,  78.6287238977,  16.9918,  14.9191,  13.87803,  13.47092,  16.9918
B97,    255.745,    78.6377777778,    0.05258,          17.2R,    None,  B97,  1237663269868863853,  255.744641263,  78.6377688728,  -9999.0,  -9999.0,  17.55656,  -9999.0,  -9999.0
B98,    255.886666667,    78.6172222222,    0.056034,          18.2V,    None,  B98,  1237663230678729072,  255.886448887,  78.6172152716,  20.44543,  18.75582,  17.86987,  17.4574,  20.44543
B99,    255.93125,    78.7175,    0.0581,           ... ,    None,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000,  -1000000
B100,    255.742083333,    78.7013888889,    0.053293,          17.4R,    None,  B100,  1237663269868929306,  255.741942764,  78.7014255793,  20.52946,  18.59972,  17.71,  17.27816,  20.52946
B101,    255.909583333,    78.615,    0.052863,          17.4V,    None,  B101,  1237656565428060286,  255.909172722,  78.6149825741,  20.38218,  18.30825,  17.40289,  16.99254,  20.38218
B102,    256.091666667,    78.7083333333,    0.049891,          16.9V,    None,  B102,  1237663269868929432,  256.091162167,  78.7083478119,  19.60732,  17.62883,  16.7169,  16.29725,  19.60732
B103,    256.1975,    78.6752777778,    0.055374,          17.7V,    None,  B103,  1237663269868929451,  256.197267972,  78.6753047558,  20.17356,  18.32938,  17.43759,  17.02438,  20.17356
